municipality,doc_type,priority,source_layer,summary,monetary_amounts,detected_at
Corte Madera,financial_report,MEDIUM,municipal_scraper,"This budget comparison report for Corte Madera, CA, reveals a strong reliance on external vendors, with over $10.5 million budgeted for 'Outside Services' in FY 2019-2020. The Public Works department ","[""$10,514,162"", ""$3,659,286"", ""$2,683,598"", ""$1,193,682"", ""$410,100"", ""$296,300"", ""$282,000"", ""$270,000"", ""$71,500"", ""$66,500""]",2026-03-20T03:31:40.482268
Richmond,financial_report,HIGH,municipal_scraper,"This budget analysis from FY12 to FY24 reveals significant growth in departmental spending, particularly in Public Works, IT, and Planning/Zoning, indicating increased municipal activity and potential","[""$116,599"", ""$84,881"", ""$543,255"", ""$936,771"", ""$333,732"", ""$546,781"", ""$78,000"", ""$332,800"", ""$4,510,854"", ""$384,269"", ""$1,388,255"", ""$131,500"", ""$368,100"", ""$3,460,217"", ""$6,796,899""]",2026-03-20T03:31:40.482268
Wells,financial_report,MEDIUM,municipal_scraper,"This Town of Wells warrant report from June 15, 2021, details payments to various vendors, highlighting infrastructure spending. Key signals include a payment to Central Maine Power (an Avangrid subsi","[""$46,384"", ""$12,180"", ""$10,417"", ""$5,579"", ""$12,375"", ""$5,245"", ""$5,000"", ""$5,000"", ""$5,500"", ""$13,163"", ""$13,580"", ""$97,297"", ""$99,864"", ""$97,146"", ""$6,135"", ""$79,506"", ""$30,503"", ""$10,425"", ""$30,914"", ""$49,664"", ""$14,685"", ""$20,332"", ""$45,936"", ""$7,188"", ""$1,693,852"", ""$6,480"", ""$2,668,093"", ""$697,725.00"", ""$1,693,852.28""]",2026-03-19T03:54:24.340114
Plano,financial_report,MEDIUM,municipal_scraper,"This document is a vendor payment authorization from Plano, IL, totaling $18,235.18. The most significant item is a $16,690.90 payment to the Illinois EPA for a well house project, signaling active ca","[""$18,235.18"", ""$274.15"", ""$113.27"", ""$147.07"", ""$114.58"", ""$163.14"", ""$16,690.90"", ""$226.80"", ""$100.50"", ""$199.51"", ""$205.26"", ""$1,544.28""]",2026-03-19T03:54:24.340114
Geneva,check_register,MEDIUM,municipal_scraper,"This check register details expenditures for Geneva, IL, including significant payments for infrastructure projects like sanitary sewer excavation and pavement maintenance. It also shows ongoing opera","[""$3,687,728.70"", ""$404.95"", ""$639,880.09"", ""$18,525.35"", ""$101,980.35"", ""$4,448,519.44"", ""$80,077.05"", ""$399.00"", ""$1,100.00"", ""$304,848.39"", ""$766.45"", ""$2,943,657.88"", ""$307,203.50"", ""$20.12"", ""$4,056.23"", ""$1,953.35"", ""$10,374.30"", ""$3,675,069.27"", ""$9,350.00"", ""$4,798.75"", ""$490.58"", ""$12,353.32"", ""$12,460.23"", ""$24,813.55"", ""$6,771.26"", ""$127.50"", ""$100.00"", ""$238.50"", ""$238.50"", ""$477.00"", ""$60.00"", ""$35.90"", ""$35.90"", ""$35.90"", ""$35.90"", ""$143.60"", ""$146.61"", ""$582.34"", ""$2,927.89"", ""$218.18"", ""$212.57"", ""$218.18"", ""$316.40"", ""$4,475.56"", ""$73.23"", ""$99.99"", ""$11.29"", ""$98.89"", ""$18.81"", ""$18.81"", ""($17.18)"", ""$3.62"", ""$11.37"", ""$56.30"", ""$43.39"", ""$57.99"", ""$49.14"", ""$28.72"", ""$36.28"", ""$48.29"", ""$38.76"", ""$122.94"", ""$15.47"", ""$8.97"", ""$21.15"", ""$5.49"", ""$12.76"", ""$126.42"", ""$15.72"", ""$163.99"", ""($69.40)"", ""$29.18"", ""$200.82"", ""$81.97"", ""$7.24"", ""$20.36"", ""$17.52"", ""$4.79"", ""$37.95"", ""$4.90"", ""$35.78"", ""($67.62)"", ""$16.87"", ""$20.98"", ""$1,511.95"", ""$86.21"", ""$52,045.55"", ""$1,095.93"", ""$304,848.39"", ""$14.95"", ""$191.00"", ""$257.00"", ""$323.00"", ""$191.00"", ""$257.00"", ""$257.00"", ""$1,476.00"", ""$6,940.28"", ""$34.21"", ""$18.93"", ""$53.14"", ""$7,538.72"", ""$140.00"", ""$431.35""]",2026-03-19T03:54:24.340114
Geneva,check_register,HIGH,municipal_scraper,"This check register details payments made by Geneva, IL, on January 6, 2020, totaling over $1.47 million. Significant expenditures include water/wastewater services ($590K), electric services ($296K),","[""$98,661.63"", ""$64,020.45"", ""$232.57"", ""$1,155.66"", ""$644.78"", ""$225.57"", ""$103.00"", ""$100.94"", ""$276.04"", ""$156,748.45"", ""$93,836.68"", ""$92.11"", ""$296,866.58"", ""$590,052.75"", ""$120,998.03"", ""$1,866.36"", ""$3,785.55"", ""$5,407.25"", ""$11,093.00"", ""$29,285.03"", ""$1,475,553.37"", ""$11,004.08"", ""$2,065.57"", ""$69.00"", ""$2,134.57"", ""$2,284.45"", ""$238.00"", ""$22.03"", ""$144.48"", ""$490.00"", ""$113.94"", ""$64.97"", ""$8.72"", ""$39.99"", ""$37.68"", ""$109.76"", ""$20.58"", ""$145.91"", ""$426.80"", ""$994.93"", ""$152.75"", ""$77.31"", ""$411.82"", ""$3,261.67"", ""$23,780.00"", ""$2,060.00"", ""$25,840.00"", ""$50.00"", ""$126.40"", ""$249.28"", ""$634.12"", ""$883.40"", ""$167.20"", ""$387.26"", ""$211.88"", ""$311.40"", ""$166.55"", ""$1,555.69"", ""$2,022.02"", ""$50.16"", ""$9.00"", ""$59.16"", ""$188.50"", ""$24.64"", ""$1,159.00"", ""$76.96"", ""$27,974.30"", ""$81,952.70"", ""$2,851.32"", ""$100.00"", ""$2,572.83"", ""$134,530.72"", ""$137,103.55"", ""$500.00"", ""$69.20"", ""$4,666.32"", ""$53.01"", ""$4,719.33"", ""$429.19"", ""$1,064.19"", ""$1,493.38"", ""$450.00"", ""$1,063.80"", ""$4,343.45"", ""$5,407.25"", ""$46,098.50"", ""$90.00"", ""$46,188.50"", ""$1,077.00"", ""$175.00"", ""$210.00"", ""$11.64"", ""$234.15"", ""$245.79"", ""$27.00"", ""$1,600.00"", ""$2,724.30"", ""$4,324.30"", ""$2,891.00""]",2026-03-19T03:54:24.340114
Geneva,check_register,MEDIUM,municipal_scraper,"This check register details significant municipal expenditures for February 2020, totaling over $3.7 million. Key spending areas include payroll, utilities (electric, water/wastewater), and various ve","[""$2,968,557.55"", ""$682.45"", ""$655,209.54"", ""$22,125.58"", ""$81,664.39"", ""$3,728,239.51"", ""$134,041.53"", ""$141.00"", ""$7,785.14"", ""$29,578.87"", ""$1,894.20"", ""$148.82"", ""$5,025.00"", ""$63.90"", ""$2,690,852.41"", ""$384.00"", ""$79,756.25"", ""$3,348.63"", ""$4,444.80"", ""$11,093.00"", ""$7,359.00"", ""$428.69"", ""$906.01"", ""$950.40"", ""$3,211.57"", ""$136.50"", ""$1,355.00"", ""$895.64"", ""$560.00"", ""$1,130.00"", ""$83.00"", ""$2,490.00"", ""$17.00"", ""$75.42"", ""$803.54"", ""$871.75"", ""$168.06"", ""$64.00"", ""$44.95"", ""$7.52"", ""$9,413.41"", ""$25.50"", ""$143.00"", ""$76.96"", ""$42,625.14"", ""$4,880.54"", ""$60.00"", ""$650.00"", ""$6,940.28"", ""$500.00"", ""$255.00"", ""$80.41"", ""$39.22"", ""$62.50"", ""$140.00"", ""$1,210.40"", ""$431.35"", ""$5.73""]",2026-03-19T03:54:24.340114
Geneva,check_register,HIGH,municipal_scraper,"This check register details significant municipal expenditures for February 3, 2020, totaling over $1 million. Key spending areas include infrastructure capital projects, water/wastewater services, an","[""$95,624.73"", ""$16,429.25"", ""$42,886.13"", ""$150.00"", ""$137.29"", ""$1,200.00"", ""$51,217.15"", ""$13,340.29"", ""$87.02"", ""$716,895.98"", ""$87,861.08"", ""$20.31"", ""$3,864.05"", ""$4,799.46"", ""$10,593.00"", ""$402.42"", ""$1,045,508.16"", ""$150.00"", ""$39.00"", ""$1,876.20"", ""$20.00"", ""$445.66"", ""$3,597.00"", ""$75.42"", ""$7,769.71"", ""$2,022.02"", ""$32,473.50"", ""$525.80"", ""$355.00"", ""$14.40"", ""$198.00"", ""$42,092.18"", ""$145.88"", ""$13,222.64"", ""$195.00"", ""$720.00"", ""$35.39"", ""$4,810.39"", ""$42,011.00"", ""$2,444.00"", ""$164.00"", ""$4,799.46"", ""$17.36"", ""$750.00"", ""$600.00"", ""$81.08"", ""$4,888.41"", ""$3,370.50"", ""$2,704.00"", ""$880.28"", ""$2,501.35"", ""$15,177.06""]",2026-03-19T03:54:24.340114
"Lowell, MA",budget,MEDIUM,municipal_scraper,The FY2023 Adopted Budget for the City of Lowell indicates potential investment signals related to infrastructure development and fiscal management. The document highlights areas of budget pressure su,[],2026-03-18T23:34:14.474500
"Midland, TX",budget,HIGH,municipal_scraper,"The City of Midland's FY2026 adopted budget indicates a 4.80% increase in property tax revenue, totaling $3,664,292, and a total debt obligation of $14,491,138. The budget also outlines specific funds","[""$3,664,292"", ""$1,141,762"", ""$14,491,138""]",2026-03-18T23:34:14.474500
"St. Charles County, MO",check_register,MEDIUM,municipal_scraper,"St. Charles County, MO check register: 7 payments totaling $4,094,307.22 to 7 vendors.","[""$3,269,836.57"", ""$4,094,307.22"", ""$3,269,836.57"", ""$493,788.75"", ""$316,810.49"", ""$7,103.49"", ""$3,419.90""]",2026-03-18T23:34:14.474500
"St. Charles County, MO",check_register,MEDIUM,municipal_scraper,"St. Charles County, MO check register: 6 payments totaling $2,809,093.75 to 6 vendors.","[""$2,247,885.83"", ""$2,809,093.75"", ""$2,247,885.83"", ""$340,105.28"", ""$211,900.17"", ""$6,100.55"", ""$3,068.36""]",2026-03-18T23:34:14.474500
"St. Charles County, MO",check_register,MEDIUM,municipal_scraper,"St. Charles County, MO check register: 6 payments totaling $2,053,464.65 to 6 vendors.","[""$1,645,306.47"", ""$2,053,464.65"", ""$1,645,306.47"", ""$223,121.49"", ""$177,598.60"", ""$6,350.67"", ""$846.92""]",2026-03-18T23:34:14.474500
"St. Charles County, MO",check_register,MEDIUM,municipal_scraper,"St. Charles County, MO check register: 1 payments totaling $66,258.39 to 1 vendors.","[""$676,149.32"", ""$66,258.39"", ""$66,258.39""]",2026-03-18T23:34:14.474500
"St. Charles County, MO",check_register,MEDIUM,municipal_scraper,"St. Charles County, MO check register: 7 payments totaling $11,739,321.36 to 7 vendors.","[""$9,176,225.85"", ""$11,739,321.36"", ""$9,176,225.85"", ""$1,370,090.88"", ""$886,832.79"", ""$166,577.40"", ""$111,372.36""]",2026-03-18T23:34:14.474500
"St. Charles County, MO",check_register,MEDIUM,municipal_scraper,"St. Charles County, MO check register: 7 payments totaling $565,509,655.64 to 7 vendors.","[""$451,375,999.65"", ""$565,509,655.64"", ""$451,375,999.65"", ""$63,869,224.09"", ""$42,385,201.67"", ""$2,848,019.55"", ""$2,277,366.09""]",2026-03-18T23:34:14.474500
"St. Charles County, MO",check_register,MEDIUM,municipal_scraper,"St. Charles County, MO check register: 7 payments totaling $6,141,168.09 to 7 vendors.","[""$4,416,978.56"", ""$6,141,168.09"", ""$4,416,978.56"", ""$667,286.41"", ""$444,452.54"", ""$423,802.36"", ""$171,466.04""]",2026-03-18T23:34:14.474500
"Shrewsbury, MA",financial_report,HIGH,municipal_scraper,"This fiscal projection for Shrewsbury, MA, highlights increased spending in utility services, particularly Sewer and Stormwater, suggesting potential infrastructure investments. The budget also reflec","[""$106,996,091"", ""$25,452,779"", ""$12,355,000"", ""$21,423,793"", ""$3,079,342"", ""$2,360,921"", ""$1,537,000"", ""$173,205,925"", ""$106,041,091"", ""$103,161,871"", ""$955,000"", ""$3,834,220"", ""$25,453,779"", ""$25,241,510"", ""$0"", ""$212,269"", ""$12,355,000"", ""$11,965,000"", ""$0"", ""$390,000"", ""$20,186,024"", ""$19,381,674"", ""$1,237,769"", ""$2,042,119"", ""$2,642,557"", ""$3,042,557"", ""$436,785"", ""$36,785"", ""$1,869,026"", ""$2,386,728"", ""$491,895"", ""-$25,807"", ""$1,537,569"", ""-$569"", ""-$569"", ""$170,085,046"", ""$166,852,138"", ""$3,120,880"", ""$6,489,015"", ""$62,112,665"", ""$83,086,622"", ""$2,976,184"", ""$10,868,380"", ""$4,316,312"", ""$1,946,649"", ""$197,316"", ""$1,175,000"", ""$11,819"", ""$343,423"", ""$18,000"", ""$514,771"", ""$2,031,590"", ""$3,607,195"", ""$22,251,857"", ""$22,160,611"", ""$20,762,365"", ""$1,489,492"", ""$12,309,151"", ""$13,189,402"", ""$11,222,073"", ""$1,087,078"", ""$2,100,000"", ""$2,200,000"", ""-$100,000"", ""$9,519,281"", ""$9,847,954"", ""$9,296,264"", ""$223,017"", ""$762,012"", ""$854,007"", ""$714,842"", ""$47,170"", ""$2,667,592"", ""$2,746,691"", ""$2,535,954"", ""$131,638"", ""$83,086,622"", ""$79,318,971"", ""$3,767,651"", ""$12,502,771"", ""$12,564,960"", ""-$227,865"", ""$145,199,287"", ""$146,588,059"", ""$138,615,452"", ""$6,583,835"", ""$2,750"", ""$14,851,825"", ""$13,875,000"", ""$976,825"", ""$1,175,435"", ""$1,132,950"", ""$42,485"", ""$100,000"", ""$130,000"", ""-$30,000"", ""$0"", ""$10,421"", ""$10,420"", ""$650,000"", ""$398,000"", ""$252,000"", ""$150,000"", ""$100,000"", ""$94,000"", ""$56,000"", ""$5,000"", ""$4,800"", ""$200"", ""$1,100,000"", ""$1,023,238"", ""$76,762"", ""$1,078,740"", ""$947,900"", ""$902,750"", ""$175,990"", ""$32,515"", ""$19,113,750"", ""$18,975,845"", ""$17,606,424"", ""$1,507,326"", ""$5,051,921"", ""$5,233,794"", ""$4,640,568"", ""$411,353"", ""$24,080"", ""$57,652"", ""$29,380"", ""-$5,300"", ""$12,309,151"", ""$11,222,073"", ""$2,174,156"", ""+1 FTE"", ""+4 FTE"", ""$1,298,388"", ""$1,053,821"", ""$244,567"", ""$801,612"", ""$901,612"", ""$1,146,179"", ""-$344,567"", ""$2,100,000"", ""$2,200,000"", ""-$200,000"", ""$871,167"", ""$878,927"", ""-$7,760"", ""$4,724,237"", ""$4,628,750"", ""$95,487"", ""$11,410"", ""$10,650"", ""$760"", ""$166,700"", ""$158,200"", ""$8,500"", ""$359,715"", ""$364,296"", ""-$4,581"", ""$335,792"", ""$288,961"", ""$46,831"", ""$2,144,302"", ""$2,132,099"", ""$12,203"", ""$129,051"", ""$98,741"", ""$30,310"", ""$156,841"", ""$163,578"", ""-$6,737"", ""$620,066"", ""$572,062"", ""$48,004"", ""$9,519,281"", ""$9,296,264"", ""$446,034"", ""$13,000"", ""$300"", ""$12,700"", ""$232,568"", ""$216,978"", ""$15,590"", ""$2,290"", ""$2,275"", ""$15"", ""$2,900"", ""$3,650"", ""-$750"", ""$511,254"", ""$491,639"", ""$19,615"", ""$762,012"", ""$714,842"", ""$94,340"", ""$236,437"", ""$239,436"", ""-$2,999"", ""$340,319"", ""$335,675"", ""$4,644"", ""$182,766"", ""$175,364"", ""$7,402"", ""$500"", ""$1,654,174"", ""$1,589,774"", ""$64,400"", ""$253,396"", ""$195,205"", ""$58,191"", ""$2,667,592"", ""$2,535,954"", ""$263,276"", ""+1 FTE"", ""$0"", ""$65,000"", ""-$65,000"", ""$350,000"", ""$360,000"", ""-$10,000"", ""$340,000"", ""$340,000"", ""$0"", ""$820,000"", ""$820,000"", ""$0"", ""$45,138"", ""$44,178"", ""$960"", ""$60,000"", ""$60,000"", ""$0"", ""$300,000"", ""$300,000"", ""$0"", ""$182,956"", ""$179,064"", ""$3,892"", ""$530,000"", ""$530,000"", ""$0"", ""$508,820"", ""$497,996"", ""$10,824"", ""$215,000"", ""$215,000"", ""$0"", ""$2,340,000"", ""$2,340,000"", ""$0"", ""$40,000"", ""$45,000"", ""-$5,000"", ""$1,860,000"", ""$1,630,000"", ""$230,000"", ""$660,000"", ""$660,000"", ""$0"", ""$8,251,914"", ""$8,086,238"", ""$165,676"", ""$0"", ""$650"", ""-$650"", ""$10,038"", ""$16,245"", ""-$6,207"", ""$42,250"", ""$59,250"", ""-$17,000"", ""$340,800"", ""$381,800"", ""-$41,000"", ""$9,964"", ""$10,847"", ""-$883"", ""$1,800"", ""$3,300"", ""-$1,500"", ""$111,600"", ""$119,100"", ""-$7,500"", ""$49,558"", ""$53,139"", ""-$3,581"", ""$218,594"", ""$238,994"", ""-$20,400"", ""$201,204"", ""$197,235"", ""$3,969"", ""$59,150"", ""$63,450"", ""-$4,300"", ""$1,551,130"", ""$1,668,130"", ""-$117,000"", ""$25,970"", ""$28,095"", ""-$2,125"", ""$1,220,750"", ""$1,197,438"", ""$23,312"", ""$408,050"", ""$441,050"", ""-$33,000"", ""$4,250,858"", ""$4,478,723"", ""-$227,865"", ""$12,502,772"", ""$12,564,961"", ""-$62,188.98"", ""$2,976,184"", ""$2,632,332"", ""$343,852"", ""$1,946,649"", ""$1,705,999"", ""$240,650"", ""$10,868,380"", ""$9,356,421"", ""$1,511,959"", ""$4,316,312"", ""$4,426,036"", ""-$109,724"", ""$20,107,525"", ""$18,120,788"", ""$1,986,737"", ""+2 FTE"", ""$40,000"", ""$10,000"", ""$300,000"", ""$33,750"", ""$35,000"", ""$210,000"", ""$80,000"", ""$90,000""]",2026-03-18T23:34:14.474500
"El Cerrito, CA",check_register,HIGH,municipal_scraper,"El Cerrito, CA check register: 295 payments totaling $1,634,332.44 to 233 vendors. Watchlist matches: FDX, RICOY, SPLS, T, WM ($16,044.99 combined).","[""$1,634,332.44"", ""$215,497.58"", ""$106,585.90"", ""$95,741.22"", ""$76,671.90"", ""$67,870.08""]",2026-03-18T23:34:14.474500
"Medfield, MA",check_register,MEDIUM,municipal_scraper,"Medfield, MA check register: 5 payments totaling $127,366.56 to 4 vendors.","[""$127,366.56"", ""$127,327.68"", ""$18.04"", ""$11.00"", ""$9.84""]",2026-03-18T23:14:57.680445
"Los Altos Hills, CA",check_register,HIGH,municipal_scraper,"Los Altos Hills, CA check register: 110 payments totaling $2,738,856.91 to 107 vendors. Watchlist matches: AMZN, CMCSA, CTAS, GWW, PBI, T, USB ($4,359.48 combined).","[""$9,591.75"", ""$2,738,856.91"", ""$1,219,246.24"", ""$259,312.07"", ""$229,605.50"", ""$134,577.00"", ""$122,848.72""]",2026-03-18T23:14:57.680445
"Los Altos Hills, CA",check_register,HIGH,municipal_scraper,"Los Altos Hills, CA check register: 114 payments totaling $4,772,387.24 to 113 vendors. Watchlist matches: AMZN, CMCSA, CTAS, HD, PBI, SPLS, T, USB ($3,893.88 combined).","[""$4,175.00"", ""$4,772,387.24"", ""$1,371,223.10"", ""$1,359,876.00"", ""$972,749.49"", ""$229,605.50"", ""$226,737.29""]",2026-03-18T23:14:57.680445
"Los Altos Hills, CA",check_register,MEDIUM,municipal_scraper,"Los Altos Hills, CA check register: 1 payments totaling $26,930,795.50 to 1 vendors.","[""$1,293,255.87"", ""$26,930,795.50"", ""$26,930,795.50""]",2026-03-18T23:14:57.680445
"Los Altos Hills, CA",check_register,HIGH,municipal_scraper,"Los Altos Hills, CA check register: 89 payments totaling $2,755,312.24 to 89 vendors. Watchlist matches: AMZN, CDW, CMCSA, CTAS, HD, ORLY, PBI, USB ($18,362.63 combined).","[""$795.75"", ""$2,755,312.24"", ""$875,285.33"", ""$490,557.56"", ""$241,847.59"", ""$229,605.50"", ""$192,560.12""]",2026-03-18T23:14:57.680445
"Los Altos Hills, CA",check_register,MEDIUM,municipal_scraper,"Los Altos Hills, CA check register: 1 payments totaling $34,591,487.05 to 1 vendors.","[""$8,055,872.98"", ""$34,591,487.05"", ""$34,591,487.05""]",2026-03-18T23:14:57.680445
"Los Altos Hills, CA",check_register,MEDIUM,municipal_scraper,"Los Altos Hills, CA check register: 65 payments totaling $11,082,510.85 to 15 vendors.","[""$22,143,067.74"", ""$11,082,510.85"", ""$3,710,000.00"", ""$2,020,000.00"", ""$1,645,000.00"", ""$1,065,000.00"", ""$510,000.00""]",2026-03-18T23:14:57.680445
"Los Altos Hills, CA",check_register,HIGH,municipal_scraper,"Los Altos Hills, CA check register: 93 payments totaling $2,226,360.79 to 90 vendors. Watchlist matches: AMZN, CMCSA, CTAS, FDX, GWW, HD, PBI, T, USB ($6,799.02 combined).","[""$129.78"", ""$2,226,360.79"", ""$1,009,748.40"", ""$279,974.01"", ""$229,605.50"", ""$160,439.80"", ""$160,439.80""]",2026-03-18T23:14:57.680445
"Los Altos Hills, CA",check_register,MEDIUM,municipal_scraper,"Los Altos Hills, CA check register: 1 payments totaling $31,610,809.06 to 1 vendors.","[""$5,190,230.58"", ""$31,610,809.06"", ""$31,610,809.06""]",2026-03-18T23:14:57.680445
"Los Altos Hills, CA",check_register,MEDIUM,municipal_scraper,"Los Altos Hills, CA check register: 2 payments totaling $26,930,797.63 to 2 vendors.","[""$975,360.38"", ""$26,930,797.63"", ""$26,930,795.50"", ""$2.13""]",2026-03-18T23:14:57.680445
"Los Altos Hills, CA",check_register,MEDIUM,municipal_scraper,"Los Altos Hills, CA check register: 1 payments totaling $30,133,597.81 to 1 vendors.","[""$4,323,893.35"", ""$30,133,597.81"", ""$30,133,597.81""]",2026-03-18T23:14:57.680445
"Los Altos Hills, CA",check_register,MEDIUM,municipal_scraper,"Los Altos Hills, CA check register: 56 payments totaling $10,043,051.66 to 15 vendors.","[""$22,299,198.42"", ""$10,043,051.66"", ""$3,935,000.00"", ""$2,020,000.00"", ""$1,065,000.00"", ""$510,000.00"", ""$450,000.00""]",2026-03-18T23:14:57.680445
"Los Altos Hills, CA",check_register,HIGH,municipal_scraper,"Los Altos Hills, CA check register: 118 payments totaling $1,923,927.10 to 116 vendors. Watchlist matches: AMZN, BK, CMCSA, CTAS, FDX, GWW, HD, ORLY, PBI, T, USB ($4,854.06 combined).","[""$774.70"", ""$1,923,927.10"", ""$846,375.18"", ""$383,545.00"", ""$138,095.71"", ""$84,360.90"", ""$80,000.00""]",2026-03-18T23:14:57.680445
"Los Altos Hills, CA",check_register,MEDIUM,municipal_scraper,"Los Altos Hills, CA check register: 1 payments totaling $31,330,037.04 to 1 vendors.","[""$3,975,988.69"", ""$31,330,037.04"", ""$31,330,037.04""]",2026-03-18T23:14:57.680445
"Los Altos Hills, CA",check_register,MEDIUM,municipal_scraper,"Los Altos Hills, CA check register: 1 payments totaling $28,611,421.39 to 1 vendors.","[""$2,148,465.46"", ""$28,611,421.39"", ""$28,611,421.39""]",2026-03-18T23:14:57.680445
"Los Altos Hills, CA",check_register,MEDIUM,municipal_scraper,"Los Altos Hills, CA check register: 69 payments totaling $11,628,198.09 to 18 vendors.","[""$22,154,819.29"", ""$11,628,198.09"", ""$4,455,000.00"", ""$2,240,000.00"", ""$1,065,000.00"", ""$884,863.58"", ""$510,000.00""]",2026-03-18T23:14:57.680445
"Los Altos Hills, CA",check_register,HIGH,municipal_scraper,"Los Altos Hills, CA check register: 131 payments totaling $3,594,493.80 to 131 vendors. Watchlist matches: AMZN, CMCSA, CNM, CTAS, FDX, HD, ORLY, PBI, SPLS, T, USB ($4,527.77 combined).","[""$23,408.00"", ""$3,594,493.80"", ""$1,096,952.18"", ""$649,876.08"", ""$633,159.19"", ""$221,319.00"", ""$197,773.24""]",2026-03-18T23:14:57.680445
"Los Altos Hills, CA",check_register,MEDIUM,municipal_scraper,"Los Altos Hills, CA check register: 1 payments totaling $30,133,597.81 to 1 vendors.","[""$4,323,893.35"", ""$30,133,597.81"", ""$30,133,597.81""]",2026-03-18T23:14:57.680445
"Los Altos Hills, CA",check_register,HIGH,municipal_scraper,"Los Altos Hills, CA check register: 87 payments totaling $2,960,666.96 to 86 vendors. Watchlist matches: AMZN, CMCSA, CTAS, FDX, GWW, PBI, T, USB ($4,306.96 combined).","[""$2,070,697.92"", ""$2,960,666.96"", ""$860,657.71"", ""$470,570.11"", ""$452,691.75"", ""$397,030.65"", ""$221,319.00""]",2026-03-18T23:14:57.680445
"Los Altos Hills, CA",check_register,MEDIUM,municipal_scraper,"Los Altos Hills, CA check register: 1 payments totaling $30,600,346.87 to 1 vendors.","[""$3,688,222.05"", ""$30,600,346.87"", ""$30,600,346.87""]",2026-03-18T23:14:57.680445
"Los Altos Hills, CA",check_register,MEDIUM,municipal_scraper,"Los Altos Hills, CA check register: 1 payments totaling $31,567,274.78 to 1 vendors.","[""$5,242,681.68"", ""$31,567,274.78"", ""$31,567,274.78""]",2026-03-18T23:14:57.680445
"Los Altos Hills, CA",check_register,HIGH,municipal_scraper,"Los Altos Hills, CA check register: 127 payments totaling $2,927,313.75 to 125 vendors. Watchlist matches: AMZN, CMCSA, CTAS, GWW, HD, PBI, SPLS, T, TYL, USB ($11,252.99 combined).","[""$24,024.00"", ""$2,927,313.75"", ""$1,227,025.22"", ""$417,255.00"", ""$251,600.20"", ""$194,093.13"", ""$125,521.36""]",2026-03-18T23:14:57.680445
"Los Altos Hills, CA",check_register,HIGH,municipal_scraper,"Los Altos Hills, CA check register: 176 payments totaling $61,669,191.36 to 75 vendors. Watchlist matches: ADBE, AMZN, BK, CMCSA, DE, HD, HON, WMT ($1,901,000.90 combined).","[""$22,102,578.45"", ""$61,669,191.36"", ""$21,822,282.87"", ""$10,262,170.39"", ""$4,295,000.00"", ""$3,465,516.28"", ""$2,902,875.04""]",2026-03-18T23:14:57.680445
"Los Altos Hills, CA",check_register,HIGH,municipal_scraper,"Los Altos Hills, CA check register: 124 payments totaling $2,580,688.48 to 122 vendors. Watchlist matches: AMZN, BK, CMCSA, CTAS, DELL, FDX, GWW, ORLY, PBI, SPLS, T, USB ($64,380.27 combined).","[""$22,118.75"", ""$2,580,688.48"", ""$750,389.04"", ""$600,091.72"", ""$194,509.55"", ""$180,617.28"", ""$120,877.37""]",2026-03-18T23:14:57.680445
"Los Altos Hills, CA",check_register,MEDIUM,municipal_scraper,"Los Altos Hills, CA check register: 1 payments totaling $28,482,122.58 to 1 vendors.","[""$1,236,867.08"", ""$28,482,122.58"", ""$28,482,122.58""]",2026-03-18T23:14:57.680445
"Los Altos Hills, CA",check_register,MEDIUM,municipal_scraper,"Los Altos Hills, CA check register: 1 payments totaling $30,260,949.86 to 1 vendors.","[""$2,669,386.56"", ""$30,260,949.86"", ""$30,260,949.86""]",2026-03-18T23:14:57.680445
"Los Altos Hills, CA",check_register,HIGH,municipal_scraper,"Los Altos Hills, CA check register: 115 payments totaling $1,452,324.32 to 114 vendors. Watchlist matches: AMZN, CMCSA, CTAS, HD, PBI, SPLS, T, USB ($3,594.07 combined).","[""$788.23"", ""$1,452,324.32"", ""$573,859.79"", ""$153,352.96"", ""$125,934.00"", ""$105,687.13"", ""$70,000.00""]",2026-03-18T23:14:57.680445
"Los Altos Hills, CA",check_register,MEDIUM,municipal_scraper,"Los Altos Hills, CA check register: 1 payments totaling $29,948,219.92 to 1 vendors.","[""$3,829,317.00"", ""$29,948,219.92"", ""$29,948,219.92""]",2026-03-18T23:14:57.680445
"Los Altos Hills, CA",check_register,MEDIUM,municipal_scraper,"Los Altos Hills, CA check register: 59 payments totaling $10,535,072.55 to 16 vendors.","[""$22,139,978.89"", ""$10,535,072.55"", ""$3,935,000.00"", ""$2,020,000.00"", ""$950,000.00"", ""$828,095.84"", ""$510,000.00""]",2026-03-18T23:14:57.680445
"Los Altos Hills, CA",check_register,HIGH,municipal_scraper,"Los Altos Hills, CA check register: 98 payments totaling $4,743,535.43 to 98 vendors. Watchlist matches: AMZN, BK, CTAS, GWW, PBI, T, USB ($62,234.69 combined).","[""$24,640.00"", ""$4,743,535.43"", ""$2,037,282.99"", ""$530,396.68"", ""$499,742.54"", ""$297,269.45"", ""$265,350.48""]",2026-03-18T23:14:57.680445
"Los Altos Hills, CA",check_register,MEDIUM,municipal_scraper,"Los Altos Hills, CA check register: 1 payments totaling $32,987,043.55 to 1 vendors.","[""$6,440,613.05"", ""$32,987,043.55"", ""$32,987,043.55""]",2026-03-18T23:14:57.680445
