municipality,doc_type,priority,source_layer,summary,monetary_amounts,detected_at,risk_category
"State of ME, State of WA, State of IL, State of NC, State of MA, State of HI, State of AZ, State of RI, State of KS, State of OK, State of CT, State of MD, State of SC, State of NH, State of MN, State of WI, State of VT, Wells",,HIGH,contagion_tracker,Regulatory contagion: PFAS_TESTING — 18 towns in 302 days,[],2026-03-20T03:31:40.482268,environmental
"Colchester, Hartford, La Marque, Pocatello, Clarendon Hills, Storey County, Texarkana, Andover, North Kingstown, Norwich, Coventry, Wisconsin Rapids, State of ME, South Burlington, Belfast, Westbrook, Richmond, Laconia, Brunswick, Brewer, State of VT, Falmouth, Portsmouth, Chelmsford, Caribou, Sanford, Presque Isle, Cumberland, Shelburne, Shrewsbury, Westfield, Rangeley, Bow, Lebanon, Dacono, Maui County, Groton, Bangor, Saratoga Springs, Butte-Silver Bow, Black Mountain, Goffstown, Humboldt County, Pasorobles, La Mesa, Inglewood, Clinton, Jerome, Hanover Park, Bloomingdale, Carpentersville, La Grange Park, Bexar County, Taylor County, Battle Creek, Madison County, Geneva, Skokie, Lima, Middletown, Cohoes, Enfield, Brookline, Danbury, Napa County, Cottonwood, Grand Traverse County, Burlington, Trumbull, Los Altos Hills, Cameron",,HIGH,contagion_tracker,Regulatory contagion: PFAS_AND_CONTAMINANTS — 71 towns in 955 days,[],2026-03-20T03:31:40.482268,environmental
"Inglewood, Auburn, Clarendon Hills, Andover, Bar Harbor, Douglas, Colchester, South Burlington, Bristol, Los Altos Hills, Lewiston, Stoughton, Saco, Belfast, Pocatello, Hartford, Montpelier, Billerica, Maui County, Keene, Wisconsin Rapids, Lake Jackson, Shelbyville, Richmond, Northfield, Bangor, Cumberland, Hanover, Idaho Falls, Brewer, Kennebunk, Scarborough, Laconia, Yarmouth, Caribou, Salem, Middletown, Cape Elizabeth, Nashua, Rumford, Sanford, Canton, Windham, South Portland, Bow, Riverside, Black Mountain, Saratoga Springs, Murfreesboro, Hot Springs, Dacono, Hampton, La Mesa, Hanover Park, Prospect Heights, Indianhead Park, Battle Creek, Humboldt County, Skokie, Wheaton, Clayton County, Columbus, Smyrna, West Hartford, Tippecanoe County, Concord, Temple City, Brookline, Delmar, Portland, Medford, Rolling Meadows, Burlington, Gunnison County",,MEDIUM,contagion_tracker,Regulatory contagion: STREET_AND_ROAD_INFRASTRUCTURE — 74 towns in 1079 days,[],2026-03-20T03:31:40.482268,transportation
"Clarendon Hills, Lewiston, Presque Isle, Andover, Pinetop Lakeside, Inglewood, Colchester, Hartford, Los Altos Hills, Douglas, Pocatello, North Kingstown, Billerica, Montpelier, State of IA, State of VT, State of ME, State of MA, Rangeley, Goffstown, Augusta, Saco, Corte Madera, Trumbull, State of HI, Westfield, Canton, State of WA, Hanover Park, Richmond, State of MD, Mendota Heights, State of IL, State of AL, Bath, Brewer, Bangor, Freeport, Wareham, Falmouth, Chelmsford, Franklin, Caribou, Scarborough, Cape Elizabeth, South Burlington, Windham, Shelburne, Newington, Skowhegan, Shelbyville, Tahlequah, Hot Springs, Saratoga Springs, Galveston, Murfreesboro, Lincoln County, Summerville, Friendswood, Nashua, Cottonwood, Pasorobles, La Mesa, Homer Glen, Bloomingdale, Olympia Fields, Indianhead Park, La Marque, Tippecanoe County, Laporte, Geneva, Placer County, Hanover County, Skokie, Flossmoor, Lima, Prairie Township, Central Point, Cohoes, La Grange Park, Essex, Columbus, Wheaton, Rolling Meadows, Concord, Chino Valley, Biddeford, Orinda, Bow, Palos Park, Libertyville, Brookline, Norwalk, Riverside, Homestead, Northbrook, North Miami Beach, Sandwich, Shrewsbury, Amsterdam, Brookhaven",,HIGH,contagion_tracker,Regulatory contagion: STORMWATER_MANAGEMENT — 101 towns in 1140 days,[],2026-03-20T03:31:40.482268,water_infrastructure
Corte Madera,financial_report,MEDIUM,municipal_scraper,"This budget comparison report for Corte Madera, CA, reveals a strong reliance on external vendors, with over $10.5 million budgeted for 'Outside Services' in FY 2019-2020. The Public Works department ","[""$10,514,162"", ""$3,659,286"", ""$2,683,598"", ""$1,193,682"", ""$410,100"", ""$296,300"", ""$282,000"", ""$270,000"", ""$71,500"", ""$66,500""]",2026-03-20T03:31:40.482268,capital_projects
Richmond,financial_report,HIGH,municipal_scraper,"This budget analysis from FY12 to FY24 reveals significant growth in departmental spending, particularly in Public Works, IT, and Planning/Zoning, indicating increased municipal activity and potential","[""$116,599"", ""$84,881"", ""$543,255"", ""$936,771"", ""$333,732"", ""$546,781"", ""$78,000"", ""$332,800"", ""$4,510,854"", ""$384,269"", ""$1,388,255"", ""$131,500"", ""$368,100"", ""$3,460,217"", ""$6,796,899""]",2026-03-20T03:31:40.482268,capital_projects
Richmond,document,HIGH,municipal_scraper,"Richmond, RI is utilizing ARPA funds for various infrastructure and public safety projects. Key investments include water line connections, radio towers, and station renovations, with several projects","[""$500,000"", ""$300,000"", ""$225,000"", ""$190,000"", ""$161,500"", ""$150,000"", ""$142,675"", ""$132,500"", ""$100,000"", ""$86,050"", ""$85,000"", ""$83,330"", ""$64,000"", ""$57,200"", ""$34,000"", ""$30,000"", ""$24,000"", ""$20,000"", ""$10,000"", ""$5,000"", ""$2,320,255"", ""$2,045,390"", ""$314,487.74"", ""$2,313,555"", ""$268,165""]",2026-03-20T03:31:40.482268,water_infrastructure
Richmond,rfp,HIGH,municipal_scraper,"The Town of Richmond is seeking bids for water system improvements, specifically the installation of a 4-log chlorination system. This project, partially funded by the RI Drinking Water State Revolvin",[],2026-03-20T03:31:40.482268,water_infrastructure
Richmond,rfp,HIGH,municipal_scraper,"The Town of Richmond is issuing an RFP for a 2025 statistical revaluation of all real property, including public utility land and buildings. The project requires adherence to state laws and specific a","[""$100,000"", ""$1,000,000"", ""$2,000,000""]",2026-03-20T03:31:40.482268,general_infrastructure
Richmond,document,MEDIUM,municipal_scraper,"This detour plan indicates upcoming road construction or utility work at the intersection of Beaver River Road & Shannock Hill Road. The plan details traffic control measures, including message boards",[],2026-03-20T03:31:40.482268,transportation
Concord,minutes,HIGH,municipal_scraper,"Concord City Council minutes show a resolution to appropriate $100,000 for water main infrastructure improvements, a lease agreement with Concord Coach Lines for transportation parking, and the adopti","[""$10,000"", ""$2,622.97"", ""$3,407.00"", ""$500.00"", ""$100,000"", ""$358,019.20"", ""$18,500""]",2026-03-20T03:31:40.482268,water_infrastructure
Concord,agenda,HIGH,municipal_scraper,"The Concord City Council agenda for January 12, 2026, highlights several investment-relevant items including a lease agreement for transportation services, funding for a skate park, water main replace","[""$10,000"", ""$10,000"", ""$100,000"", ""$100,000"", ""$18,500"", ""$18,500"", ""$2,050,000"", ""$46,000"", ""$84,000"", ""$2,622.97"", ""$3,407.00"", ""$500.00""]",2026-03-20T03:31:40.482268,water_infrastructure
Concord,agenda,MEDIUM,municipal_scraper,"The Concord Planning Board agenda for January 21, 2026, features numerous design review applications for commercial signage and building modifications, indicating ongoing commercial development and bu",[],2026-03-20T03:31:40.482268,water_infrastructure
Concord,agenda,MEDIUM,municipal_scraper,"The Concord City Council agenda includes several items relevant to investment vectors, notably a lease agreement for overflow parking (Vector G, J), a skate park construction appropriation (Vector G),","[""$15,000"", ""$1,913.11"", ""$10,000"", ""$84,000""]",2026-03-20T03:31:40.482268,capital_projects
Concord,agenda,MEDIUM,municipal_scraper,"The Concord Planning Board agenda for March 18, 2026, features numerous design review applications for commercial signage, indicating ongoing business activity and minor capital improvements. Addition",[],2026-03-20T03:31:40.482268,water_infrastructure
Concord,agenda,HIGH,municipal_scraper,"The Concord City Council agenda for March 9, 2026, features several items relevant to investment vectors. Key proposals include appropriations for facility improvements and vehicle replacement, an ord","[""$385,000"", ""$526,968"", ""$421,574"", ""$105,394"", ""$5,000"", ""$3,073.66"", ""$7.00"", ""$1,980.00"", ""$15,000"", ""$84,000""]",2026-03-20T03:31:40.482268,water_infrastructure
Concord,minutes,HIGH,municipal_scraper,"Concord's City Council has set priorities for 2026-2027, focusing on fiscal responsibility, economic development through infrastructure investment (water, sewer, roads), and asset management. Key init",[],2026-03-20T03:31:40.482268,water_infrastructure
Concord,agenda,MEDIUM,municipal_scraper,"The Concord Fiscal Policy Advisory Committee agenda for February 17, 2026, includes discussions on C-PACER adoption, signaling a potential expansion in clean energy financing, and a review of year-to-",[],2026-03-20T03:31:40.482268,capital_projects
Melrose,document,MEDIUM,faa_tower_filings,"This FAA Obstruction Evaluation Filing for a proposed 305 ft AGL tower in Melrose, WI, by Boldyn US, signals planned infrastructure development. The filing indicates potential future construction proj",[],2026-03-20T03:31:40.482268,capital_projects
Denton,notice,MEDIUM,faa_tower_filings,"This FAA Tower Filing for Denton, TX, indicates a proposed High Powered DME Antenna construction project. The filing, dated March 19, 2026, requires at least 45 days notice before construction begins,",[],2026-03-20T03:31:40.482268,capital_projects
Hurley,notice,MEDIUM,faa_tower_filings,"This FAA Obstruction Evaluation Filing for Hurley, WI, indicates planned tower/antenna construction by SBA TOWERS. The filing, dated March 19, 2026, signals potential infrastructure development and re",[],2026-03-20T03:31:40.482268,capital_projects
Menomonee Falls,document,MEDIUM,faa_tower_filings,"This FAA Tower Filing for Menomonee Falls, WI, indicates planned tower/antenna construction by Crown Castle USA - DDS. The filing requires at least 45 days notice before construction begins, suggestin",[],2026-03-20T03:31:40.482268,capital_projects
GOLIAD,notice,MEDIUM,faa_tower_filings,"This FAA Obstruction Evaluation Filing for GOLIAD, TX, indicates planned tower/antenna construction by Crown Castle USA - MG. The filing, dated 2026-03-18, requires at least 45 days notice before cons",[],2026-03-20T03:31:40.482268,capital_projects
McAllen,notice,MEDIUM,faa_tower_filings,"This FAA Obstruction Evaluation Filing for McAllen, TX, indicates planned tower/antenna construction by Crown Castle USA - DDS. The filing, dated March 16, 2026, details a proposed structure of 465 ft",[],2026-03-20T03:31:40.482268,capital_projects
SAN BENITO,notice,MEDIUM,faa_tower_filings,"This FAA Tower Filing for San Benito, TX, indicates a planned construction of a 111 ft AGL tower by AT&T. The filing is a precursor to potential infrastructure development, suggesting future opportuni",[],2026-03-20T03:31:40.482268,capital_projects
Tarpley,document,MEDIUM,faa_tower_filings,"This FAA Obstruction Evaluation Filing for Alta Towers in Tarpley, TX, indicates planned tower/antenna construction. The filing requires at least 45 days before construction start, suggesting potentia",[],2026-03-20T03:31:40.482268,capital_projects
Fairborn,document,MEDIUM,faa_tower_filings,"This FAA Obstruction Evaluation Filing for Fairborn, OH, indicates a planned tower/antenna construction project by NORTHSTAR TOWERS II, LLC. The filing, dated 2026-02-25, details a proposed structure ",[],2026-03-20T03:31:40.482268,capital_projects
Kenmare,notice,MEDIUM,faa_tower_filings,"This FAA Obstruction Evaluation Filing for Montana-Dakota Utilities Co. in Kenmare, ND, signals planned tower/antenna construction. The filing, dated March 12, 2026, indicates a project requiring at l",[],2026-03-20T03:31:40.482268,capital_projects
Bismarck,notice,MEDIUM,faa_tower_filings,"This FAA Obstruction Evaluation Filing for a proposed 160 ft AGL structure in Bismarck, ND, by Hemphill, LLC, signals planned tower/antenna construction. This indicates potential infrastructure develo",[],2026-03-20T03:31:40.482268,capital_projects
Mandan,notice,MEDIUM,faa_tower_filings,"This FAA Obstruction Evaluation Filing indicates planned tower/antenna construction activity in Mandan, ND, proposed by Hemphill, LLC. The filing requires at least 45 days notice before construction b",[],2026-03-20T03:31:40.482268,capital_projects
Norwood,notice,MEDIUM,faa_tower_filings,"This FAA Tower Filing for Norwood, NC, indicates planned tower/antenna construction activity by TowerCom IV-B, LLC. The filing requires at least 45 days notice before construction begins, suggesting p",[],2026-03-20T03:31:40.482268,capital_projects
Wallace,notice,MEDIUM,faa_tower_filings,"This FAA Obstruction Evaluation Filing for Wallace, NC, indicates planned tower/antenna construction by TowerCom IV-B, LLC. The filing, dated March 19, 2026, details a 265 ft AGL structure and suggest",[],2026-03-20T03:31:40.482268,capital_projects
Morganton,document,MEDIUM,faa_tower_filings,"This FAA Obstruction Evaluation Filing for Morganton, NC, indicates planned tower/antenna construction by TowerCom IV-B, LLC. The filing, dated March 19, 2026, suggests potential utility infrastructur",[],2026-03-20T03:31:40.482268,capital_projects
Granite Falls,notice,MEDIUM,faa_tower_filings,"This FAA Obstruction Evaluation Filing for Granite Falls, NC, indicates a planned tower construction project by TowerCom IV-B, LLC. The filing, dated March 19, 2026, requires at least 45 days notice b",[],2026-03-20T03:31:40.482268,capital_projects
Mt. Gilead,notice,MEDIUM,faa_tower_filings,"This FAA Obstruction Evaluation Filing details a proposed new tower construction in Mt. Gilead, NC by TowerCom IV-B, LLC. The filing, dated March 19, 2026, indicates planned tower/antenna construction",[],2026-03-20T03:31:40.482268,capital_projects
Vale,notice,MEDIUM,faa_tower_filings,"This FAA Obstruction Evaluation Filing for Vale, NC, indicates planned tower construction by SBA TOWERS. The filing, dated March 19, 2026, requires at least 45 days notice before construction begins, ",[],2026-03-20T03:31:40.482268,general_infrastructure
Broadway,notice,MEDIUM,faa_tower_filings,"This FAA tower filing for Broadway, NC, indicates planned tower/antenna construction by TowerCom IV-B, LLC. The filing requires at least 45 days notice before construction begins, suggesting upcoming ",[],2026-03-20T03:31:40.482268,transportation
Lillington,notice,MEDIUM,faa_tower_filings,"This FAA Obstruction Evaluation Filing for Lillington, NC, indicates planned tower/antenna construction by SBA TOWERS. The filing requires at least 45 days notice before construction begins, suggestin",[],2026-03-20T03:31:40.482268,capital_projects
KALISPELL,document,MEDIUM,faa_tower_filings,"This FAA Tower Filing for Kalispell, MT, details a proposed 151 ft AGL structure by Crown Castle USA - MG. The filing indicates planned tower/antenna construction, which is a precursor to potential in",[],2026-03-20T03:31:40.482268,capital_projects
Trenton,notice,MEDIUM,faa_tower_filings,"This FAA tower filing for Trenton, MO, indicates planned tower/antenna construction by CELLCO PARTNERSHIP - C. The filing requires at least 45 days notice before construction begins, suggesting potent",[],2026-03-20T03:31:40.482268,capital_projects
Risco,notice,MEDIUM,faa_tower_filings,"This FAA tower filing for Risco, MO, indicates planned tower/antenna construction by CELLCO PARTNERSHIP - C. The filing, dated March 18, 2026, suggests potential infrastructure development and related",[],2026-03-20T03:31:40.482268,capital_projects
Marionville,document,MEDIUM,faa_tower_filings,"This FAA Obstruction Evaluation Filing details a proposed tower/antenna construction project in Marionville, MO, sponsored by TILLMAN INFRASTRUCTURE, LLC. The filing indicates planned infrastructure d",[],2026-03-20T03:31:40.482268,capital_projects
Rolla,notice,MEDIUM,faa_tower_filings,"This FAA Tower Filing indicates proposed tower/antenna construction by Array Digital Infrastructure in Rolla, MO. The filing requires at least 45 days notice before construction begins, suggesting upc",[],2026-03-20T03:31:40.482268,capital_projects
Marshall,notice,MEDIUM,faa_tower_filings,"This FAA Obstruction Evaluation Filing for Marshall, MO, indicates planned tower/antenna construction by CELLCO PARTNERSHIP - C. The filing requires at least 45 days notice before construction begins,",[],2026-03-20T03:31:40.482268,capital_projects
Bismarck,document,MEDIUM,faa_tower_filings,"This FAA Tower Filing for Bismarck, MO, indicates planned tower/antenna construction by VB-S1 ASSETS, LLC. The filing requires at least 45 days notice before construction begins, suggesting potential ",[],2026-03-20T03:31:40.482268,capital_projects
St. Louis,document,MEDIUM,faa_tower_filings,"This FAA Obstruction Evaluation Filing details a proposed Courion-C tower (157 ft AGL) in St. Louis, MO, sponsored by American Towers LLC. The filing, dated March 12, 2026, indicates planned tower con",[],2026-03-20T03:31:40.482268,general_infrastructure
Annapolis,notice,MEDIUM,faa_tower_filings,"This FAA tower filing for Annapolis, MO, indicates planned tower/antenna construction by Array Digital Infrastructure. The filing requires at least 45 days notice before construction begins, suggestin",[],2026-03-20T03:31:40.482268,capital_projects
Monett,notice,MEDIUM,faa_tower_filings,"This FAA Tower Filing for Monett, MO, indicates planned tower/antenna construction by Eagle Broadcasting, Inc. The filing, dated March 9, 2026, details a proposed structure of 243 ft AGL. This signals",[],2026-03-20T03:31:40.482268,transportation
NEW MADRID,notice,MEDIUM,faa_tower_filings,"This FAA Tower Filing indicates a proposed new tower/antenna construction project by AT&T in New Madrid, MO. The filing requires at least 45 days notice before construction begins, suggesting upcoming",[],2026-03-20T03:31:40.482268,capital_projects
DUNNEGAN,document,MEDIUM,faa_tower_filings,"This FAA Tower Filing for Dunnegan, MO, indicates planned tower/antenna construction by American Towers LLC. The filing requires at least 45 days notice before construction begins, suggesting upcoming",[],2026-03-20T03:31:40.482268,capital_projects
